Open,High,Low,Volume,Close
0.92,0.9237,0.92,132918,0.9226
0.9252,0.9334,0.9052,266852,0.92
0.9114,0.935,0.8981,248028,0.9252
0.9941,0.9966,0.8964,283545,0.9115
0.9538,1.0167,0.9372,220148,0.9941
0.9466,0.9738,0.923,97602.60156,0.9537
0.8799,0.961,0.8527,177716,0.9467
0.835,0.915,0.8241,109157,0.8798
0.8263,0.8485,0.819,119296,0.835
0.7967,0.8347,0.791,117399,0.8262
0.8053,0.8322,0.7754,130602,0.7966
0.8262,0.8364,0.8028,47671.69922,0.8051
0.8102,0.84,0.777,91331.60156,0.8262
0.782,0.8214,0.7717,51886.39844,0.8103
0.8394,0.8444,0.7601,100635,0.7818
0.8391,0.8572,0.8088,44187,0.8393
0.7992,0.8445,0.7844,40633.60156,0.8392
0.8583,0.8829,0.7914,56500.19922,0.7992
0.8623,0.9361,0.8319,182599,0.8583
0.8154,0.8844,0.8026,85735.29688,0.8622
0.8256,0.8467,0.8042,108619,0.8154
0.8045,0.8303,0.7485,84237,0.8255
0.8452,0.862,0.769,276919,0.8045
0.9211,0.9245,0.6,150652,0.8449
0.9715,0.9838,0.89,438776,0.9211
0.9898,0.9901,0.9545,228445,0.9716
0.9984,1.0173,0.9799,183102,0.9899
0.9899,1.0304,0.97,283962,0.9983
0.9687,1.0019,0.9631,543764,0.9898
0.9453,0.9692,0.8825,723077,0.9687
0.9392,0.9656,0.9336,491984,0.9452
1.0439,1.0467,0.9108,433301,0.9394
1.0325,1.0647,1.0215,150995,1.0438
1.0662,1.0735,1.0068,217183,1.0326
1.0354,1.0715,1.0192,117740,1.0661
1.0571,1.071,1.0251,250643,1.0354
1.0965,1.0974,1.0544,184970,1.0569
1.0892,1.1015,1.0594,138511,1.0965
1.0406,1.103,1.0174,124575,1.0892
1.0953,1.17,1.015,98540.20313,1.0406
1.0877,1.113,1.0588,101095,1.0953
1.172,1.1721,1.0418,168532,1.0877
1.1879,1.2198,1.1651,148555,1.172
1.1894,1.1995,1.1675,68524.5,1.1879
1.1884,1.2039,1.167,77662.89844,1.1892
1.2142,1.2332,1.1542,111370,1.1883
1.1902,1.2544,1.1764,94992.60156,1.2142
1.2572,1.3493,1.1174,69553.89844,1.1902
1.2815,1.2884,1.2245,89099.20313,1.2571
1.2198,1.296,1.2192,116666,1.2815
1.1511,1.2374,1.1451,65375.10156,1.2198
1.1581,1.1828,1.1,122049,1.151
1.2004,1.2015,1.1311,100284,1.1581
1.21,1.2574,1.1604,136205,1.2004
1.1348,1.2363,1.1255,353430,1.2101
1.0916,1.1468,1.0851,503684,1.1349
1.1128,1.1321,1.069,348336,1.0915
1.0845,1.1544,1.0689,169471,1.1128
1.0825,1.1169,1.0611,116853,1.0846
1.058,1.0903,1.0409,243140,1.0825
0.9951,1.0816,0.981,262049,1.0579
1.1076,1.1248,0.9483,274946,0.995
1.0951,1.1606,1.0905,292547,1.1075
1.0821,1.1034,1.0778,182887,1.0951
1.0935,1.0961,1.0522,125320,1.0821
1.0885,1.1018,1.0763,111827,1.0934
1.0885,1.1288,1.0739,141903,1.0885
1.1451,1.164,1.0851,272756,1.0886
1.0911,1.1529,1.0868,79829.60156,1.1455
1.0827,1.1009,1.0661,111065,1.0911
1.0943,1.1064,1.0642,145177,1.0827
1.1343,1.1407,1.0172,101031,1.0944
1.1415,1.1869,1.13,144327,1.1343
1.1335,1.1656,1.0914,234647,1.1413
1.1277,1.16,1.1174,94390.70313,1.1336
1.1017,1.1387,1.075,76410.70313,1.1275
1.1363,1.1364,1.0634,88303.5,1.1018
1.1352,1.182,1.1017,87502,1.1364
1.1604,1.23,1.1262,72350.89844,1.1352
1.0636,1.2089,1.0565,80846.79688,1.1604
1.0677,1.0927,1.0539,132234,1.0636
1.0766,1.0942,1.0423,114580,1.0678
1.084,1.1081,1.0171,89506.20313,1.0765
1.0429,1.088,1.038,99815.39844,1.0839
1.0552,1.0596,1.0059,182760,1.0425
1.0359,1.0884,1.021,82703.29688,1.0552
1.0422,1.0733,1.0079,72243.5,1.0359
0.9535,1.0695,0.9443,108222,1.0422
0.9266,0.964,0.9217,98273.29688,0.9533
0.8928,0.9941,0.8861,286655,0.9268
0.9217,0.9431,0.8903,141302,0.8928
0.9436,0.9818,0.9194,118268,0.9218
0.9399,0.9567,0.8915,81315.89844,0.9436
0.9442,0.9577,0.9163,113086,0.94
1.0016,1.0027,0.8858,179315,0.944
1.0033,1.017,0.9676,191411,1.0016
0.874,1.0094,0.8679,125364,1.0033
0.9216,0.9593,0.8582,246829,0.8743
1.0483,1.0497,0.8738,219724,0.9216
1.0752,1.0837,1.0383,270668,1.0483
1.0663,1.0952,1.0562,308396,1.0751
1.0903,1.1025,1.0509,268279,1.0661
1.1207,1.13,1.0662,218797,1.0902
1.0962,1.13,1.0784,153437,1.1207
1.0644,1.0978,1.0566,186620,1.0963
1.1181,1.1266,1.025,168193,1.0643
1.0788,1.1276,1.0576,120274,1.1181
1.0552,1.12,1.0503,151671,1.0787
1.0868,1.245,1.03,158829,1.0552
1.0999,1.1377,1.0619,129058,1.0868
1.129,1.148,1.0133,280005,1.0998
1.3894,1.3922,0.9524,173065,1.1292
1.3075,1.4151,1.3065,166282,1.3894
1.2548,1.3125,1.2361,156820,1.3076
1.2906,1.2972,1.2352,123269,1.2548
1.2533,1.3235,1.2189,132403,1.2907
1.2362,1.295,1.2216,149855,1.2533
1.1856,1.2384,1.158,291633,1.2362
1.1005,1.2441,1.0907,253082,1.1856
1.1408,1.1488,1.0946,171739,1.1002
1.1458,1.1683,1.112,362626,1.1408
1.1918,1.198,1.1329,239591,1.1459
1.0713,1.1926,1.0501,137822,1.1918
1.1735,1.1866,1.0636,205229,1.0712
1.1353,1.1779,1.1073,122748,1.1735
1.2456,1.2658,1.1212,126179,1.1353
1.2258,1.3046,1.2024,81632.39844,1.2457
1.2158,1.2557,1.1776,95657.39844,1.226
1.2629,1.2835,1.2,84412.70313,1.2158
1.2347,1.2897,1.1992,83902.20313,1.2629
1.143,1.2355,1.0895,82093.5,1.2347
1.098,1.1963,1.0501,65139.89844,1.1431
1.1855,1.2479,1.085,61823.89844,1.0978
1.2838,1.3288,1.1432,113844,1.1855
1.2788,1.35,1.2252,65893.60156,1.2839
1.0901,1.31,1.0691,86073.39844,1.2791
0.9661,1.0968,0.9501,65376.69922,1.0901
1.0106,1.045,0.9222,68251.89844,0.966
